module	module_name	p_value	fdr_adjusted_p_value	diff	fraction_samples_mod_is_present
M00082	Fatty acid biosynthesis, initiation	2.23697993178755e-30	2.00209703894986e-28	0.324561403508772	1
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	5.33379316759582e-30	2.51991533439812e-28	0.441176470588235	1
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose	5.63109571932541e-30	2.51991533439812e-28	0.301247771836007	1
M00053	Pyrimidine deoxyribonucleotide biosynthesis, CDP => dCTP	6.96503825116084e-29	1.38526871884199e-27	0.164955070603338	0.924242424242424
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	3.53638267068672e-28	5.75465907320839e-27	0.129455909943715	0.751515151515151
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	5.11508944068149e-28	7.63000841568322e-27	0.141891891891892	0.96969696969697
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	4.61915188241285e-27	4.91052614565144e-26	0.142857142857143	0.590909090909091
M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	6.11328120937108e-26	5.2108444594163e-25	0.194235588972431	0.978787878787879
M00899	Thiamine salvage pathway, HMP/HET => TMP	2.81197862397104e-25	1.93593912958006e-24	0.309883720930233	1
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	1.59908107817219e-24	9.87019010320075e-24	0.340384615384615	0.993939393939394
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	2.3764907516377e-23	1.21540527012328e-22	0.228057014253563	0.978787878787879
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	4.02527558946901e-23	1.94736305544582e-22	0.245559845559846	0.996969696969697
M00005	PRPP biosynthesis, ribose 5P => PRPP	8.37891147433982e-22	3.94690829975481e-21	0.337967914438503	1
M00120	Coenzyme A biosynthesis, pantothenate => CoA	5.69960746488248e-21	2.37262729352084e-20	0.223484848484848	1
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	5.81909569388504e-20	2.36731393001232e-19	0.181960784313726	0.948484848484848
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	1.75057211254309e-18	6.39494710500434e-18	0.145454545454545	0.996969696969697
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	4.22540357052406e-18	1.48303380220354e-17	0.214285714285714	1
M00705	Multidrug resistance, efflux pump MepA	5.48026648106466e-18	1.88647634636649e-17	0.281720430107527	0.996969696969697
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	1.34822096950812e-17	4.55342553852743e-17	0.146859083191851	0.921212121212121
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	2.47008332476432e-17	8.1878687987558e-17	0.144144144144144	0.981818181818182
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	3.47147408537993e-17	1.10963189514823e-16	0.216312056737589	1
M00083	Fatty acid biosynthesis, elongation	1.85004335671898e-16	5.61284340428301e-16	0.269607843137255	1
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	1.17430943057592e-15	3.50335646788481e-15	0.12962962962963	1
M00023	Tryptophan biosynthesis, chorismate => tryptophan	1.38989916805903e-15	4.07855657512404e-15	0.131782945736434	1
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	4.46467890015052e-15	1.26853575099515e-14	0.214285714285714	1
M00015	Proline biosynthesis, glutamate => proline	5.33203419361443e-15	1.49130331352654e-14	0.168888888888889	1
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	2.65459321354783e-14	7.09212216753824e-14	0.168253968253968	1
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	6.33512254970535e-14	1.66762784764302e-13	0.176470588235294	1
M00021	Cysteine biosynthesis, serine => cysteine	2.52570085203306e-13	6.5521804712162e-13	0.147540983606557	1
M00844	Arginine biosynthesis, ornithine => arginine	4.17940604126300e-13	1.06873383055154e-12	0.234042553191489	1
M00028	Ornithine biosynthesis, glutamate => ornithine	9.56046393298868e-13	2.34427814247257e-12	0.178660049627792	1
M00627	beta-Lactam resistance, Bla system	1.46185038233259e-12	3.53609754645315e-12	0.154798761609907	0.993939393939394
M00169	CAM (Crassulacean acid metabolism), light	6.46029432243053e-11	1.49782085028718e-10	0.134920634920635	0.990909090909091
