module	C3002C4_MGX	C3013C2_MGX	M2008C11_MGX	M2075C4_MGX	M2077C1_MGX	P6009C1_MGX	IBDMDB_CD_MSM6J2IY	IBDMDB_CD_PSM7J199	IBDMDB_UC_PSMA267J	G48777_CD	G48780_CD	G48783_Control	G48784_UC	G48787_Control	G48789_Control	G48790_Control	G48791_UC	G48792_Control	G48793_Control	G48794_UC	G48795_CD	G48796_CD	G48798_Control	G48799_UC	G48802_UC	G48804_CD	G48805_CD	G48806_CD	G48807_CD	G48808_Control	G48810_CD	G48812_UC	G48814_UC	G48815_CD	G48817_CD	G48819_CD	G48820_CD	G48821_UC	G48822_UC	G48823_CD	G48826_Control	G48827_CD	G48831_Control	G48832_UC	G48836_UC	G48838_CD	G48839_CD	G48841_CD	G48842_CD	G83831_Control	AST0002	AST0003	AST0005	AST0008	AST0009	AST0011	AST0013	AST0015	AST0017	AST0018	AST0019	AST0022	AST0023	AST0024	AST0025	AST0026	AST0029	AST0030	AST0031	AST0032	AST0033	AST0034	AST0035	AST0037	AST0038	AST0040	AST0042	AST0044	AST0045	AST0049	AST0050	AST0051	AST0055	AST0056	AST0057	AST0058	AST0060	AST0061	AST0064	AST0066	AST0067	AST0068	AST0069	AST0070	AST0071	AST0072	AST0073	AST0074	AST0075	AST0076	AST0077	AST0078	AST0081	AST0083	AST0086	AST0090	AST0091	AST0092	AST0093	AST0095	AST0098	AST0100	AST0104	AST0105	AST0107	AST0109	AST0112	AST0113	AST0114	AST0115	AST0117	AST0118	AST0119	AST0120	AST0121	AST0122	AST0124	AST0126	AST0127	AST0128	AST0130	AST0131	AST0132	AST0133	AST0134	AST0135	AST0136	AST0139	AST0140	AST0141	AST0145	AST0148	AST0149	AST0153	AUS0002	AUS0004	AUS0014	AUS0016	AUS0018	AUS0020	AUS0022	AUS0024	CAN0001	CAN0002	CAN0003	CAN0004	CAN0005	CAN0006	CAN0007	CAN0009	CAN0010	CAN0011	CAN0012	CAN0013	CAN0014	CAN0015	CAN0016	CAN0017	CAN0018	CAN0019	CAN0020	CAN0021	CAN0022	CAN0023	CHI0106	CHI0111	CHI0116	CHI0132	CHI0133	CHI0138	CHI0140	CHI0141	CHI0143	CHI0145	CHI0154	CHI0162	CHI0164	CHI0165	CHI0167	CHI0168	CHI0182	DEN0001	DEN0003	DEN0005	DEN0007	DEN0010	DEN0011	DEN0012	DEN0017	DEN0018	DEN0021	DEN0022	DEN0026	DEN0028	DEN0029	DEN0031	DEN0033	DEN0035	DEN0039	DEN0041	DEN0045	DEN0046	DEN0051	DEN0052	DEN0053	DEN0061	DEN0062	DEN0063	DEN0064	DEN0065	DEN0066	DEN0067	DEN0069	DEN0070	DEN0071	DEN0072	DEN0073	DEN0078	DEN0079	DEN0082	DEN0083	DEN0085	DEN0087	DEN0090	DEN0092	DEN0093	DEN0094	DEN0096	DEN0099	DEN0100	DEN0101	DEN0107	DEN0108	DEN0109	DEN0111	DEN0114	DEN0118	DEN0120	DEN0121	DEN0122	DEN0127	DEN0131	DEN0132	DEN0133	DEN0134	DEN0136	DEN0138	DEN0139	DEN0143	DEN0144	DEN0145	DEN0146	DEN0149	DEN0151	DEN0152	DEN0153	DEN0154	DEN0156	DEN0158	DEN0159	DEN0160	DEN0161	DEN0162	DEN0164	DEN0165	DEN0168	DEN0169	DEN0173	DEN0174	DEN0175	DEN0178	DEN0179	DEN0180	DEN0181	DEN0184	DEN0185	DEN0188	DEN0192	DEN0194	DEN0195	DEN0199	DEN0200	DEN0202	DEN0203	DEN0205	DEN0212	DEN0213	DEN0214	DEN0215	DEN0216	DEN0219	DEN0221	DEN0225	DEN0226	DEN0228	DEN0229	DEN0230	DEN0231	DEN0233	DEN0236	DEN0237	DEN0238	DEN0239	DEN0240	DEN0241	DEN0244	DEN0245	DEN0246	DEN0250	DEN0251	DEN0252	DEN0253	DEN0254	DEN0257	DEN0259	DEN0260	DEN0261	DEN0263	DEN0264	DEN0266	DEN0268	DEN0270	DEN0272	DEN0274	DEN0276	DEN0278	DEN0281	DEN0283	DEN0287	DEN0288	DEN0289	DEN0290	ENG0006	ENG0103	n_209_V6_M_229_non_pouchitis_2	n_209_V7_M_348_non_pouchitis_3	n_210_V10_M_720_non_pouchitis_7	n_210_V5_M_117_non_pouchitis_4	n_210_V6_M_265_non_pouchitis_5	n_210_V7_M_368_non_pouchitis_6	n_211_V10_M_714_non_pouchitis_4	n_211_V5_M_117_non_pouchitis_1	n_211_V6_M_229_non_pouchitis_2	n_211_V7_M_369_non_pouchitis_3	n_212_V10_M_720_non_pouchitis_4	n_212_V5_M_120_non_pouchitis_1	n_212_V6_M_239_non_pouchitis_2	n_212_V7_M_359_non_pouchitis_3	n_213_V10_M_722_non_pouchitis_4	n_213_V5_M_126_non_pouchitis_1	n_213_V6_M_231_non_pouchitis_2	n_213_V7_M_359_non_pouchitis_3	n_216_V10_M_721_non_pouchitis_4	n_216_V6_M_233_non_pouchitis_2	n_217_V10_M_720_non_pouchitis_4	n_217_V6_M_235_non_pouchitis_2	n_423_V6_M_232_non_pouchitis_2	n_423_V7_M_355_non_pouchitis_3	n_427_V6_M_234_non_pouchitis_2	n_503_V5_M_126_non_pouchitis_1	n_503_V6_M_271_non_pouchitis_2	n_503_V7_M_412_non_pouchitis_3	p_200_V10_M_731_without_inflamation_5	p_200_V12_M_282_inflamation_1	p_202_V10_M_743_without_inflamation_6	p_202_V11_M_301_inflamation_3	p_202_V12_M_329_antibiotic_4	p_202_V6_M_238_without_inflamation_2	p_204_V10_M_785_without_inflamation_6	p_204_V12_M_462_antibiotic_4	p_204_V5_M_187_without_inflamation_1	p_204_V6_M_308_without_inflamation_2	p_206_V11_M_482_inflamation_5	p_206_V5_M_118_without_inflamation_1	p_206_V6_M_237_without_inflamation_2	p_206_V7_M_363_without_inflamation_3	p_207_V10_M_719_inflamation_7	p_207_V5_M_124_without_inflamation_1	p_207_V6_M_236_without_inflamation_2	p_207_V7_M_355_without_inflamation_3	p_207_V8_M_482_inflamation_4	p_207_V9_M_601_without_inflamation_6	p_208_V12_M_651_antibiotic_6	p_208_V5_M_119_without_inflamation_1	p_208_V7_M_357_without_inflamation_3	p_208_V9_M_613_inflamation_5	p_214_V6_M_231_without_inflamation_2	p_214_V7_M_358_without_inflamation_3	p_214_V8_M_484_inflamation_4	p_215_V10_M_717_without_inflamation_3	p_215_V6_M_248_without_inflamation_1	p_215_V7_M_371_without_inflamation_2	p_218_V6_M_238_without_inflamation_2	p_500_V5_M_120_without_inflamation_1	p_500_V6_M_260_without_inflamation_2	p_500_V7_M_365_without_inflamation_3	p_502_V5_M_120_without_inflamation_1	p_502_V6_M_234_without_inflamation_2
M00001	7	9	9	14	9	12	10	10	5	28	42	55	45	43	80	94	73	69	47	65	39	50	63	50	47	11	3	14	56	37	30	46	19	34	64	14	18	12	11	46	61	30	46	30	12	47	38	18	31	28	49	47	28	26	12	51	40	31	29	31	44	31	52	56	50	41	43	14	31	27	19	34	22	31	26	30	43	22	20	32	15	35	46	16	10	23	43	61	44	20	26	31	44	50	53	39	29	34	24	39	40	28	42	47	48	37	41	20	26	27	44	19	55	41	43	24	39	47	31	29	37	41	38	51	52	40	44	36	38	51	38	24	5	37	35	29	37	19	32	38	24	44	29	43	33	22	32	21	37	26	47	39	49	20	68	25	17	64	67	29	20	49	76	46	59	58	53	53	32	8	43	54	40	10	25	50	12	49	22	16	32	33	19	15	35	33	24	18	23	18	33	64	24	42	38	48	61	8	35	50	43	45	36	31	3	36	31	45	17	43	43	22	57	62	5	45	23	60	53	41	45	29	32	42	52	24	62	44	65	61	36	37	11	37	9	42	44	56	6	38	41	16	12	17	18	27	44	10	21	38	11	40	45	53	49	36	8	17	30	48	22	41	36	27	6	57	14	37	33	35	17	27	19	13	42	59	31	23	43	12	8	9	44	27	18	52	37	13	29	33	37	31	12	37	33	50	38	38	26	29	52	44	16	53	36	19	25	36	11	12	27	47	45	35	11	45	37	54	7	15	39	15	71	34	36	44	23	44	54	44	25	14	38	7	42	48	58	36	25	35	39	45	33	31	20	18	36	23	36	44	16	33	20	19	26	25	19	34	23	24	28	19	20	22	14	10	20	26	12	24	31	22	19	24	16	13	21	17	11	12	25	15	18	18	16	8	8	15	14	23	14	15	30	33	16	8	16	14	13	34	23	17	27	17	24	30	26	23
M00002	7	9	9	14	9	12	10	10	5	28	43	55	45	43	80	103	73	69	47	65	39	50	63	50	47	11	3	14	56	37	30	46	19	34	64	15	18	12	11	46	61	30	46	30	12	47	38	18	31	28	49	47	28	26	12	52	41	31	29	31	46	31	52	59	51	41	43	14	31	27	19	34	22	31	26	30	43	22	20	32	15	35	46	20	10	23	43	61	44	20	26	31	44	51	53	39	29	34	24	39	40	28	42	47	48	37	41	20	26	27	44	19	59	41	43	24	40	47	32	29	37	41	38	55	55	40	49	36	38	51	38	24	6	37	35	29	37	19	32	42	24	44	29	43	33	22	32	21	37	26	47	39	49	21	68	25	17	64	72	29	20	49	76	46	59	58	53	53	32	8	43	54	40	10	25	50	12	49	22	16	32	33	19	15	35	33	24	18	23	18	33	64	24	42	38	48	61	8	35	56	43	45	36	31	3	36	31	45	17	43	43	22	57	69	15	45	23	67	57	41	45	29	32	42	52	24	63	45	65	61	36	37	11	37	16	42	44	56	8	38	45	16	12	17	18	30	44	11	21	38	11	40	49	60	51	36	8	27	30	50	22	41	36	35	6	59	14	37	33	35	17	27	19	13	42	61	31	23	43	12	8	9	44	27	18	52	37	16	29	33	37	31	12	37	33	50	38	38	26	32	52	44	16	58	36	19	25	36	14	12	27	49	45	35	11	45	37	54	7	16	39	16	71	34	36	47	23	44	54	44	25	14	38	8	42	49	58	36	25	35	39	45	33	31	20	18	36	23	36	44	16	33	20	19	26	25	19	34	23	24	28	19	20	22	14	10	20	26	12	24	31	22	19	24	16	13	21	17	12	12	25	15	18	21	16	8	8	15	14	23	14	18	30	33	16	8	16	14	13	34	23	17	27	17	24	30	26	23
M00003	5	8	9	14	9	12	10	10	5	28	28	47	38	35	65	59	53	56	44	36	35	46	44	46	38	8	3	4	50	37	27	36	13	31	39	12	14	9	6	36	56	26	46	25	7	43	35	14	27	28	37	41	28	21	12	29	23	28	29	31	31	31	28	37	38	41	37	14	31	27	15	34	20	24	26	13	39	22	20	29	15	26	33	16	5	20	39	37	33	18	26	22	32	36	40	39	29	30	24	39	24	28	35	30	39	23	38	20	26	27	32	15	33	36	43	17	30	40	30	29	28	34	30	26	31	29	32	22	36	45	35	20	4	37	34	27	29	18	31	34	24	30	29	24	29	22	28	21	26	25	36	28	49	17	39	25	17	44	38	22	18	37	52	37	49	46	45	39	32	8	40	37	26	9	17	30	12	32	21	16	31	28	19	15	27	18	24	18	21	18	27	35	24	34	33	36	30	8	35	36	36	30	29	25	3	36	31	24	14	37	41	21	47	39	7	39	18	39	36	32	29	29	29	32	32	14	39	25	49	36	25	37	9	25	9	37	30	36	8	28	28	9	12	12	16	19	38	6	12	38	11	30	38	29	32	19	8	16	30	34	22	38	26	17	5	36	12	32	31	24	13	27	19	11	32	37	24	21	33	12	8	9	32	25	18	35	27	7	29	25	36	19	12	23	23	36	36	21	19	18	36	31	10	43	32	19	25	31	13	11	27	28	45	35	11	42	31	40	7	12	37	10	47	24	26	33	22	36	39	42	24	14	30	7	35	30	45	36	19	18	39	35	24	29	14	12	34	23	36	44	16	27	19	19	26	16	12	31	23	17	28	15	17	21	14	6	12	22	12	16	27	22	14	22	13	10	13	17	5	12	23	11	16	15	14	3	8	12	14	18	13	13	20	29	12	7	16	14	13	29	20	17	16	17	22	26	26	22
M00004	6	1	6	8	7	8	4	8	5	11	9	7	8	3	14	6	18	9	6	12	12	5	11	9	12	4	2	4	7	7	8	9	4	12	7	9	9	4	3	8	6	6	8	6	5	22	11	7	6	5	6	3	4	4	2	2	1	1	3	1	2	1	2	4	2	3	6	6	6	2	2	2	0	8	4	1	3	2	10	1	4	6	4	5	2	6	6	5	4	3	2	6	6	11	4	15	8	5	5	13	3	7	6	2	5	5	1	3	7	5	3	2	2	4	3	4	5	11	1	3	5	3	4	5	6	6	3	8	7	6	2	2	5	6	9	2	7	6	7	6	10	6	9	9	5	4	11	4	7	8	8	9	19	3	17	11	9	16	9	7	6	9	14	11	14	13	16	16	15	3	15	11	10	6	4	9	10	6	4	6	7	10	10	5	11	8	6	2	5	7	7	5	4	4	10	12	7	4	12	6	4	10	10	7	5	6	5	3	4	9	7	5	15	9	0	9	2	7	3	5	8	5	8	9	7	6	11	4	7	7	7	9	2	5	1	5	2	12	1	5	2	3	8	2	8	0	9	1	5	12	3	7	4	3	2	1	3	3	11	0	7	1	6	3	0	9	4	7	8	5	6	6	6	3	4	9	8	2	9	4	3	2	8	6	7	8	9	2	8	9	13	12	1	10	4	8	9	5	9	4	8	11	4	10	10	2	2	10	0	4	7	11	7	9	6	11	4	12	2	2	11	4	7	7	7	6	4	7	6	9	5	9	5	2	7	10	7	8	7	2	11	10	11	5	12	11	8	7	8	11	6	7	6	8	3	7	8	16	6	7	6	4	8	10	4	3	3	2	5	12	11	10	8	7	4	4	8	4	4	5	7	4	2	8	9	4	3	6	7	7	5	6	16	16	5	4	6	4	6	11	6	8	7	11	17	13	8	6
M00005	13	9	10	17	9	20	15	10	13	51	59	87	71	65	113	124	99	94	72	77	59	76	74	78	69	20	5	19	76	64	43	67	34	57	82	23	23	22	19	58	80	54	64	59	23	74	52	29	48	47	72	78	56	43	22	63	53	56	51	51	61	58	69	65	67	64	63	27	68	50	34	59	29	48	49	44	64	35	38	57	41	60	68	31	13	41	63	77	63	39	46	44	70	55	71	53	44	53	41	64	59	46	57	65	67	51	69	38	50	58	48	27	66	64	63	40	48	66	44	56	61	60	53	58	57	57	61	46	61	82	56	36	10	60	52	44	47	22	51	58	47	53	48	52	46	41	42	36	46	37	61	55	59	29	69	36	22	74	71	43	28	63	80	47	66	70	59	63	46	11	60	70	52	13	28	55	28	52	31	23	44	40	34	25	45	46	33	29	29	28	45	72	51	61	48	71	74	14	52	63	60	57	47	31	15	54	52	55	29	58	65	33	68	66	16	64	31	74	68	50	53	53	53	58	74	28	77	54	83	69	52	54	14	42	22	59	65	63	18	55	54	29	19	22	28	43	59	15	24	57	14	55	60	78	69	42	15	29	48	66	32	57	48	29	13	65	19	55	53	51	28	50	31	23	55	73	36	37	69	34	17	16	57	36	31	68	60	20	56	43	55	45	23	43	44	63	52	48	30	34	67	56	13	71	57	28	37	47	20	17	38	53	77	60	11	68	47	72	13	23	53	22	89	36	37	51	32	65	71	55	37	24	64	19	64	47	72	50	33	58	59	61	43	39	42	38	55	50	56	86	27	68	41	31	51	36	49	44	33	41	56	34	26	40	20	23	24	42	20	36	39	33	28	44	28	18	33	23	21	25	51	24	33	31	39	15	12	23	26	30	17	26	55	57	28	16	40	26	19	52	39	35	46	34	46	47	37	45
M00006	6	1	6	8	7	8	4	8	5	11	9	7	8	3	14	6	18	9	6	12	12	5	11	9	12	4	2	4	7	7	8	9	4	12	7	9	9	4	3	8	6	6	8	6	5	22	11	7	6	5	6	3	4	4	2	2	1	1	3	1	2	1	2	4	2	3	6	6	6	2	2	2	0	8	4	1	3	2	10	1	4	6	4	5	2	6	6	5	4	3	2	6	6	11	4	15	8	5	5	13	3	7	6	2	5	5	1	3	7	5	3	2	2	4	3	4	5	11	1	3	5	3	4	5	6	6	3	8	7	6	2	2	5	6	9	2	7	6	7	6	10	6	9	9	5	4	11	4	7	8	8	9	19	3	17	11	9	16	9	7	6	9	14	11	14	13	16	16	15	3	15	11	10	6	4	9	10	6	4	6	7	10	10	5	11	8	6	2	5	7	7	5	4	4	10	12	7	4	12	6	4	10	10	7	5	6	5	3	4	9	7	5	15	9	0	9	2	7	3	5	8	5	8	9	7	6	11	4	7	7	7	9	2	5	1	5	2	12	1	5	2	3	8	2	8	0	9	1	5	12	3	7	4	3	2	1	3	3	11	0	7	1	6	3	0	9	4	7	8	5	6	6	6	3	4	9	8	2	9	4	3	2	8	6	7	8	9	2	8	9	13	12	1	10	4	8	9	5	9	4	8	11	4	10	10	2	2	10	0	4	7	11	7	9	6	11	4	12	2	2	11	4	7	7	7	6	4	7	6	9	5	9	5	3	7	10	7	8	7	2	11	10	11	5	12	11	8	7	8	11	6	7	6	8	3	7	8	16	6	7	6	4	8	10	4	3	3	2	5	12	11	10	8	7	4	4	8	4	4	5	7	4	2	8	9	4	3	6	7	7	5	6	16	16	5	4	6	4	6	11	6	8	7	11	17	13	8	6
M00007	6	4	11	10	9	12	8	8	8	29	28	48	27	31	56	30	38	38	33	39	32	41	44	37	36	13	4	13	45	26	21	32	25	33	22	14	17	16	11	32	40	24	37	32	15	40	32	21	32	22	36	36	29	17	15	27	10	27	25	31	24	33	19	24	31	29	32	14	23	27	16	34	17	29	22	18	30	21	27	26	20	27	32	15	10	22	27	26	26	17	27	24	23	26	25	25	32	19	21	38	19	19	26	22	32	28	27	20	24	28	17	11	15	30	39	21	20	22	24	30	27	18	23	18	18	30	19	13	26	31	28	11	7	28	29	24	25	20	20	30	25	27	31	23	27	24	28	16	26	23	25	25	29	14	27	15	18	36	29	11	13	24	33	18	28	23	26	29	18	8	34	29	19	10	14	21	20	20	16	13	21	24	22	19	17	12	20	12	16	14	18	21	29	28	25	28	20	11	25	25	18	20	24	18	8	25	28	15	7	27	22	10	38	27	2	22	6	24	24	15	18	10	23	27	24	8	36	15	29	18	25	24	7	16	3	36	17	18	5	26	11	10	8	5	15	9	27	3	11	32	8	25	16	15	10	13	3	6	22	14	18	14	22	10	3	19	9	24	29	23	11	24	20	10	19	28	17	15	29	14	7	5	13	19	12	21	24	6	34	21	26	16	7	16	18	28	30	17	17	11	26	23	6	25	25	11	11	20	2	13	17	22	28	33	9	24	28	33	8	8	25	8	27	19	14	29	14	27	15	30	19	10	20	2	34	19	28	27	14	5	31	29	19	22	18	14	27	25	36	44	17	32	21	21	29	25	16	31	22	26	29	16	18	25	15	11	16	28	12	22	27	23	25	26	16	13	13	14	9	13	24	14	24	18	19	7	8	12	18	20	13	17	26	29	15	9	20	17	15	30	31	21	17	21	18	24	28	24
M00008	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	2	1	0	3	3	2	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	2	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	1	1	2	0	7	3	1	1	1	3	0	1	0	1	1	1	3	4	1	1	1	1	2	0	0	1	0	0	1	1	2	2	1	1	1	1	1	1	2	0	1	1	0	1	1	2	1	2	1	1	0	1	1	4	0
M00009	0	1	0	0	0	0	0	0	0	3	8	1	2	0	6	5	3	1	1	3	4	1	6	1	5	1	2	0	5	0	2	4	3	3	2	6	3	3	3	2	3	3	2	3	1	3	3	2	3	3	3	5	2	1	1	1	2	1	1	0	2	2	1	2	1	4	4	2	2	0	1	1	1	5	2	3	1	1	2	1	0	1	3	1	1	1	5	4	4	0	1	4	4	1	1	5	0	1	3	2	2	2	3	4	6	3	2	1	1	2	4	2	1	4	2	0	2	2	1	2	4	2	3	1	1	3	2	5	1	2	2	0	2	4	3	2	4	3	3	7	1	1	2	2	0	0	0	1	0	0	0	1	3	0	1	0	0	2	1	2	0	4	2	1	0	1	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	4	0	0	3	0	1	3	2	0	0	1	2	0	0	1	0	0	0	4	0	0	1	2	0	1	0	2	2	0	2	1	1	1	0	1	3	1	0	3	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	1	2	1	1	2	1	0	1	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	1	1	0	4	4	2	4	3	3	3	4	0	8	4	5	5	2	3	1	3	1	3	3	1	5	9	4	4	2	3	3	2	2	3	0	0	3	2	4	4	1	2	3	3	4	2	5	2	5	4	0	3	2	3	6	5	2	3	0	4	2	6	0
M00010	0	1	0	0	0	0	0	0	0	3	8	1	2	0	6	5	3	1	1	3	4	1	6	1	5	4	2	1	5	0	2	4	5	3	2	6	9	4	4	2	3	3	2	3	4	3	3	2	3	3	3	5	4	3	3	2	2	4	2	4	3	3	1	3	1	4	4	6	2	0	5	4	1	7	2	4	5	3	2	3	5	7	4	4	3	5	7	4	4	4	2	4	4	1	1	5	0	1	5	2	2	2	4	6	7	3	2	3	4	2	5	2	1	5	5	5	2	2	3	4	4	2	3	1	1	3	2	5	1	2	7	0	3	4	6	2	4	3	3	7	1	1	2	2	0	0	0	1	0	0	0	1	3	0	1	0	0	2	1	2	0	4	2	1	0	1	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	2	4	0	0	3	0	1	4	2	0	0	1	2	0	0	1	0	0	0	4	0	0	1	2	0	1	0	2	2	0	2	1	1	1	0	1	3	1	0	3	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	0	0	0	1	2	1	1	2	1	0	1	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	2	6	5	1	0	4	4	2	6	3	3	4	7	2	19	7	5	5	3	8	1	4	3	3	4	1	9	10	4	4	2	3	4	3	2	4	0	0	5	4	6	6	3	2	3	3	5	2	6	2	7	4	0	3	2	4	6	5	2	3	0	4	2	7	0
